DCC_freq,tau_M,G_e,tau_e,Gin
1.0,2.0,0.2,0.01,0.4769297117378122
1.0,2.0,0.2,0.006666666666666666,0.4769297117378122
1.0,2.0,0.2,0.005,0.4769297117378122
1.0,2.0,0.1,0.01,0.4769297117378122
1.0,2.0,0.1,0.006666666666666666,0.4769297117378122
1.0,2.0,0.1,0.005,0.4769297117378122
1.0,3.0,0.2,0.015,0.4488490945587291
1.0,3.0,0.2,0.01,0.4488490945587291
1.0,3.0,0.2,0.0075,0.4488490945587291
1.0,3.0,0.1,0.015,0.4488490945587291
1.0,3.0,0.1,0.01,0.4488490945587291
1.0,3.0,0.1,0.0075,0.4488490945587291
1.0,4.0,0.2,0.02,0.4357706801987817
1.0,4.0,0.2,0.013333333333333332,0.4357706801987912
1.0,4.0,0.2,0.01,0.4357706801987912
1.0,4.0,0.1,0.02,0.43577068019877213
1.0,4.0,0.1,0.013333333333333332,0.4357706801987912
1.0,4.0,0.1,0.01,0.4357706801987912
1.0,5.0,0.2,0.025,0.42823306854047516
1.0,5.0,0.2,0.016666666666666666,0.4282330685476906
1.0,5.0,0.2,0.0125,0.4282330685476906
1.0,5.0,0.1,0.025,0.42823306853325965
1.0,5.0,0.1,0.016666666666666666,0.4282330685476906
1.0,5.0,0.1,0.0125,0.4282330685476906
2.0,2.0,0.2,0.01,0.4357685949926708
2.0,2.0,0.2,0.006666666666666666,0.43576859499268034
2.0,2.0,0.2,0.005,0.43576859499268034
2.0,2.0,0.1,0.01,0.4357685949926613
2.0,2.0,0.1,0.006666666666666666,0.43576859499268034
2.0,2.0,0.1,0.005,0.43576859499268034
2.0,3.0,0.2,0.015,0.42328627009181347
2.0,3.0,0.2,0.01,0.4232862706920994
2.0,3.0,0.2,0.0075,0.4232862706921084
2.0,3.0,0.1,0.015,0.42328626949151865
2.0,3.0,0.1,0.01,0.4232862706920904
2.0,3.0,0.1,0.0075,0.4232862706921084
2.0,4.0,0.2,0.02,0.4172617384736782
2.0,4.0,0.2,0.013333333333333332,0.4172618892934729
2.0,4.0,0.2,0.01,0.4172618893297339
2.0,4.0,0.1,0.02,0.4172615876177228
2.0,4.0,0.1,0.013333333333333332,0.41726188925720303
2.0,4.0,0.1,0.01,0.4172618893297252
2.0,5.0,0.2,0.025,0.4137278349429484
2.0,5.0,0.2,0.016666666666666666,0.41373198281377704
2.0,5.0,0.2,0.0125,0.41373198809904516
2.0,5.0,0.1,0.025,0.413723681863497
2.0,5.0,0.1,0.016666666666666666,0.41373197752177393
2.0,5.0,0.1,0.0125,0.4137319880923101
3.0,2.0,0.2,0.01,0.42340492061077123
3.0,2.0,0.2,0.006666666666666666,0.4234049211536603
3.0,2.0,0.2,0.005,0.42340492115366796
3.0,2.0,0.1,0.01,0.42340492006787456
3.0,2.0,0.1,0.006666666666666666,0.4234049211536526
3.0,2.0,0.1,0.005,0.42340492115366796
3.0,3.0,0.2,0.015,0.4153589210347901
3.0,3.0,0.2,0.01,0.41535981352565543
3.0,3.0,0.2,0.0075,0.4153598140478115
3.0,3.0,0.1,0.015,0.415358028025303
3.0,3.0,0.1,0.01,0.41535981300319386
3.0,3.0,0.1,0.0075,0.415359814047506
3.0,4.0,0.2,0.02,0.41139561626595644
3.0,4.0,0.2,0.013333333333333332,0.4114315887842833
3.0,4.0,0.2,0.01,0.41143172457465993
3.0,4.0,0.1,0.02,0.4113595137821668
3.0,4.0,0.1,0.013333333333333332,0.4114314524813707
3.0,4.0,0.1,0.01,0.4114317240620336
3.0,5.0,0.2,0.025,0.40879101349352975
3.0,5.0,0.2,0.016666666666666666,0.40911735394904947
3.0,5.0,0.2,0.0125,0.40912114706004127
3.0,5.0,0.1,0.025,0.4084613683047984
3.0,5.0,0.1,0.016666666666666666,0.40911351678350966
3.0,5.0,0.1,0.0125,0.4091211029335228
4.0,2.0,0.2,0.01,0.41725997644659785
4.0,2.0,0.2,0.006666666666666666,0.4172601272651188
4.0,2.0,0.2,0.005,0.4172601273013795
4.0,2.0,0.1,0.01,0.41725982559191654
4.0,2.0,0.1,0.006666666666666666,0.41726012722884925
4.0,2.0,0.1,0.005,0.4172601273013708
4.0,3.0,0.2,0.015,0.41133489482844054
4.0,3.0,0.2,0.01,0.4113725354988964
4.0,3.0,0.2,0.0075,0.4113726815596879
4.0,3.0,0.1,0.015,0.41129711447160205
4.0,3.0,0.1,0.01,0.41137238887123007
4.0,3.0,0.1,0.0075,0.4113726809927087
4.0,4.0,0.2,0.02,0.40789002840731964
4.0,4.0,0.2,0.013333333333333332,0.4084721470311558
4.0,4.0,0.2,0.01,0.40848131151735684
4.0,4.0,0.1,0.02,0.40730031086702845
4.0,4.0,0.1,0.013333333333333332,0.40846283839529784
4.0,4.0,0.1,0.01,0.4084811669435155
4.0,5.0,0.2,0.025,0.4037560614458258
4.0,5.0,0.2,0.016666666666666666,0.4066677125085311
4.0,5.0,0.2,0.0125,0.4067755923920111
4.0,5.0,0.1,0.025,0.4007771314500398
4.0,5.0,0.1,0.016666666666666666,0.4065558794106207
4.0,5.0,0.1,0.0125,0.40677157771506406
5.0,2.0,0.2,0.01,0.4137070764950408
5.0,2.0,0.2,0.006666666666666666,0.41371122394964593
5.0,2.0,0.2,0.005,0.41371122923438364
5.0,2.0,0.1,0.01,0.4137029238323314
5.0,2.0,0.1,0.006666666666666666,0.41371121865817384
5.0,2.0,0.1,0.005,0.41371122922764925
5.0,3.0,0.2,0.015,0.4087139443103608
5.0,3.0,0.2,0.01,0.40905168141438714
5.0,3.0,0.2,0.0075,0.4090556934936238
5.0,3.0,0.1,0.015,0.408372718112862
5.0,3.0,0.1,0.01,0.40904762168418907
5.0,3.0,0.1,0.0075,0.4090556457620886
5.0,4.0,0.2,0.02,0.4037385043308042
5.0,4.0,0.2,0.013333333333333332,0.40664990126288797
5.0,4.0,0.2,0.01,0.40675777169546834
5.0,4.0,0.1,0.02,0.4007598324480723
5.0,4.0,0.1,0.013333333333333332,0.4065380779595555
5.0,4.0,0.1,0.01,0.406753757370275
5.0,5.0,0.2,0.025,0.3946275268374746
5.0,5.0,0.2,0.016666666666666666,0.40460194718343045
5.0,5.0,0.2,0.0125,0.4053550460723253
5.0,5.0,0.1,0.025,0.3844017440661519
5.0,5.0,0.1,0.016666666666666666,0.40379490034040133
5.0,5.0,0.1,0.0125,0.40529788176807
6.0,2.0,0.2,0.01,0.41139395005451496
6.0,2.0,0.2,0.006666666666666666,0.41142992228144193
6.0,2.0,0.2,0.005,0.41143005807071853
6.0,2.0,0.1,0.01,0.4113578478631524
6.0,2.0,0.1,0.006666666666666666,0.4114297859796335
6.0,2.0,0.1,0.005,0.4114300575580963
6.0,3.0,0.2,0.015,0.40613199746882317
6.0,3.0,0.2,0.01,0.40752544410406394
6.0,3.0,0.2,0.0075,0.4075600169167646
6.0,3.0,0.1,0.015,0.4047131023207611
6.0,3.0,0.1,0.01,0.4074900176585716
6.0,3.0,0.1,0.0075,0.40755915712724256
6.0,4.0,0.2,0.02,0.397058775842783
6.0,4.0,0.2,0.013333333333333332,0.40508544695334225
6.0,4.0,0.2,0.01,0.40561510413879137
6.0,4.0,0.1,0.02,0.3888237212676664
6.0,4.0,0.1,0.013333333333333332,0.4045222589503446
6.0,4.0,0.1,0.01,0.4055800090346633
6.0,5.0,0.2,0.025,0.3806683318538934
6.0,5.0,0.2,0.016666666666666666,0.4016090524851083
6.0,5.0,0.2,0.0125,0.4042045665405421
6.0,5.0,0.1,0.025,0.3594669551839198
6.0,5.0,0.1,0.016666666666666666,0.3987325358198876
6.0,5.0,0.1,0.0125,0.4038822738753031
7.0,2.0,0.2,0.01,0.4095694880761834
7.0,2.0,0.2,0.006666666666666666,0.4097566879005627
7.0,2.0,0.2,0.005,0.40975832224250985
7.0,2.0,0.1,0.01,0.4093808136265581
7.0,2.0,0.1,0.006666666666666666,0.4097550392967362
7.0,2.0,0.1,0.005,0.4097583079673654
7.0,3.0,0.2,0.015,0.4022736803088791
7.0,3.0,0.2,0.01,0.406299316765303
7.0,3.0,0.2,0.0075,0.4064772665824844
7.0,3.0,0.1,0.015,0.398148572831143
7.0,3.0,0.1,0.01,0.40611364251346205
7.0,3.0,0.1,0.0075,0.4064693725970804
7.0,4.0,0.2,0.02,0.3863065800561447
7.0,4.0,0.2,0.013333333333333332,0.40293401183788247
7.0,4.0,0.2,0.01,0.40468183421276627
7.0,4.0,0.1,0.02,0.36937397130708877
7.0,4.0,0.1,0.013333333333333332,0.4010201772607604
7.0,4.0,0.1,0.01,0.404497635026103
7.0,5.0,0.2,0.025,0.3618263198327388
7.0,5.0,0.2,0.016666666666666666,0.3962811551017796
7.0,5.0,0.2,0.0125,0.40271042313286465
7.0,5.0,0.1,0.025,0.327680480180285
7.0,5.0,0.1,0.016666666666666666,0.38892931788084856
7.0,5.0,0.1,0.0125,0.40151173748610236
8.0,2.0,0.2,0.01,0.407888412655695
8.0,2.0,0.2,0.006666666666666666,0.40847052666442246
8.0,2.0,0.2,0.005,0.4084796910779137
8.0,2.0,0.1,0.01,0.4072986997840465
8.0,2.0,0.1,0.006666666666666666,0.4084612181024163
8.0,2.0,0.1,0.005,0.4084795465052194
8.0,3.0,0.2,0.015,0.3968639095767142
8.0,3.0,0.2,0.01,0.4050372419705992
8.0,3.0,0.2,0.0075,0.40558368180281346
8.0,3.0,0.1,0.015,0.3884774801731984
8.0,3.0,0.1,0.01,0.4044557386828641
8.0,3.0,0.1,0.0075,0.4055469504898363
8.0,4.0,0.2,0.02,0.37341448726053544
8.0,4.0,0.2,0.013333333333333332,0.39973115861567793
8.0,4.0,0.2,0.01,0.4036255002768017
8.0,4.0,0.1,0.02,0.34698317841133863
8.0,4.0,0.1,0.013333333333333332,0.3953556347060644
8.0,4.0,0.1,0.01,0.4030480406496867
8.0,5.0,0.2,0.025,0.34292782337951533
8.0,5.0,0.2,0.016666666666666666,0.3888168925663138
8.0,5.0,0.2,0.0125,0.40040203861625157
8.0,5.0,0.1,0.025,0.2982358817185034
8.0,5.0,0.1,0.016666666666666666,0.3752726830779926
8.0,5.0,0.1,0.0125,0.3974722157410012
9.0,2.0,0.2,0.01,0.40627311961401325
9.0,2.0,0.2,0.006666666666666666,0.40781260247741274
9.0,2.0,0.2,0.005,0.4078529966628758
9.0,2.0,0.1,0.01,0.40470438797266656
9.0,2.0,0.1,0.006666666666666666,0.4077711532391868
9.0,2.0,0.1,0.005,0.40785193318831436
9.0,3.0,0.2,0.015,0.3890822777503215
9.0,3.0,0.2,0.01,0.4037824347780756
9.0,3.0,0.2,0.0075,0.40520551677295663
9.0,3.0,0.1,0.015,0.37407500343852
9.0,3.0,0.1,0.01,0.40223284192693004
9.0,3.0,0.1,0.0075,0.40506711480950225
9.0,4.0,0.2,0.02,0.35742946391881997
9.0,4.0,0.2,0.013333333333333332,0.3949486060527599
9.0,4.0,0.2,0.01,0.40254802720088784
9.0,4.0,0.1,0.02,0.32042296346753585
9.0,4.0,0.1,0.013333333333333332,0.3862024752828717
9.0,4.0,0.1,0.01,0.40100787635150953
9.0,5.0,0.2,0.025,0.3225558144790451
9.0,5.0,0.2,0.016666666666666666,0.3783708184934454
9.0,5.0,0.2,0.0125,0.39693794591613224
9.0,5.0,0.1,0.025,0.268717434346144
9.0,5.0,0.1,0.016666666666666666,0.3562872864773702
9.0,5.0,0.1,0.0125,0.39070515124963884
10.0,2.0,0.2,0.01,0.40373693435740565
10.0,2.0,0.2,0.006666666666666666,0.40664830856543926
10.0,2.0,0.2,0.005,0.4067561781529319
10.0,2.0,0.1,0.01,0.4007582855548401
10.0,2.0,0.1,0.006666666666666666,0.40653648613792576
10.0,2.0,0.1,0.005,0.406752163859192
10.0,3.0,0.2,0.015,0.3802947758790823
10.0,3.0,0.2,0.01,0.40149622729436285
10.0,3.0,0.2,0.0075,0.4041516908705621
10.0,3.0,0.1,0.015,0.358833963932599
10.0,3.0,0.1,0.01,0.3985504286430417
10.0,3.0,0.1,0.0075,0.4038180368948822
10.0,4.0,0.2,0.02,0.3429153663206717
10.0,4.0,0.2,0.013333333333333332,0.3888008786258673
10.0,4.0,0.2,0.01,0.400385056180274
10.0,4.0,0.1,0.02,0.2982264599611928
10.0,4.0,0.1,0.013333333333333332,0.3752577653567782
10.0,4.0,0.1,0.01,0.3974554809184182
10.0,5.0,0.2,0.025,0.30627177366735236
10.0,5.0,0.2,0.016666666666666666,0.3674605519017378
10.0,5.0,0.2,0.0125,0.39205740661918626
10.0,5.0,0.1,0.025,0.24710204815473052
10.0,5.0,0.1,0.016666666666666666,0.3378921571058849
10.0,5.0,0.1,0.0125,0.38196268294159913
15.0,2.0,0.2,0.01,0.38117720348995277
15.0,2.0,0.2,0.006666666666666666,0.40172805486222857
15.0,2.0,0.2,0.005,0.40423575107479487
15.0,2.0,0.1,0.01,0.360363836114682
15.0,2.0,0.1,0.006666666666666666,0.39895283280525673
15.0,2.0,0.1,0.005,0.4039298082021852
15.0,3.0,0.2,0.015,0.3253605836757133
15.0,3.0,0.2,0.01,0.37982436527392704
15.0,3.0,0.2,0.0075,0.3972522524765002
15.0,3.0,0.1,0.015,0.27279533966736397
15.0,3.0,0.1,0.01,0.35915446776800536
15.0,3.0,0.1,0.0075,0.39164847395931984
15.0,4.0,0.2,0.02,0.27790741509249417
15.0,4.0,0.2,0.013333333333333332,0.34345593830663024
15.0,4.0,0.2,0.01,0.3791521934831124
15.0,4.0,0.1,0.02,0.21228269611255146
15.0,4.0,0.1,0.013333333333333332,0.29965047874095874
15.0,4.0,0.1,0.01,0.3585534061244371
15.0,5.0,0.2,0.025,0.24553129525080722
15.0,5.0,0.2,0.016666666666666666,0.3072357690490272
15.0,5.0,0.2,0.0125,0.3525580794351108
15.0,5.0,0.1,0.025,0.1767734885990629
15.0,5.0,0.1,0.016666666666666666,0.2486934621913292
15.0,5.0,0.1,0.0125,0.31405260683958985
20.0,2.0,0.2,0.01,0.3429142523903067
20.0,2.0,0.2,0.006666666666666666,0.38879944664097543
20.0,2.0,0.2,0.005,0.40038353759343287
20.0,2.0,0.1,0.01,0.2982256174480586
20.0,2.0,0.1,0.006666666666666666,0.3752564313949803
20.0,2.0,0.1,0.005,0.3974539844729148
20.0,3.0,0.2,0.015,0.2764819476867462
20.0,3.0,0.2,0.01,0.34210151208721257
20.0,3.0,0.2,0.0075,0.3783022537395477
20.0,3.0,0.1,0.015,0.2106317894991915
20.0,3.0,0.1,0.01,0.29761071704237546
20.0,3.0,0.1,0.0075,0.3570594559835931
20.0,4.0,0.2,0.02,0.23614494525810537
20.0,4.0,0.2,0.013333333333333332,0.29505068998438566
20.0,4.0,0.2,0.01,0.3416973696313248
20.0,4.0,0.1,0.02,0.1672298580353555
20.0,4.0,0.1,0.013333333333333332,0.23315919889039127
20.0,4.0,0.1,0.01,0.2973048107926512
20.0,5.0,0.2,0.025,0.21201652306444743
20.0,5.0,0.2,0.016666666666666666,0.2602800433215186
20.0,5.0,0.2,0.0125,0.30549331204664026
20.0,5.0,0.1,0.025,0.14405755397964864
20.0,5.0,0.1,0.016666666666666666,0.19258641491394515
20.0,5.0,0.1,0.0125,0.2465950699835593
