DCC_freq,I_com,R_in,tau_M,data,ripple_amp,relDCCfreq,ripple_amp_AU
1.0,1,1.5,2.0,"[   0.            4.99722325    9.98889711 ... 1262.24750153 1260.84578318
 1259.44562143] uV",0.49769903 mV,2.0,0.4976990328768539
1.0,5,1.5,2.0,[0.         0.02498612 0.04994449 ... 6.31123751 6.30422892 6.29722811] mV,2.48849516 mV,2.0,2.48849516438436
1.0,10,1.5,2.0,"[ 0.          0.04997223  0.09988897 ... 12.62247502 12.60845783
 12.59445621] mV",4.97699033 mV,2.0,4.97699032876872
1.0,1,1.5,3.0,"[   0.            3.33209907    6.66173083 ... 1339.72606149 1338.73403928
 1337.74275162] uV",0.33265136 mV,3.0,0.332651360369378
1.0,5,1.5,3.0,[0.         0.0166605  0.03330865 ... 6.69863031 6.6936702  6.68871376] mV,1.6632568 mV,3.0,1.6632568018466214
1.0,10,1.5,3.0,"[ 0.          0.03332099  0.06661731 ... 13.39726061 13.38734039
 13.37742752] mV",3.3265136 mV,3.0,3.326513603693243
1.0,1,1.5,4.0,"[   0.            2.49930568    4.99722325 ... 1379.16913011 1378.40313783
 1377.63757099] uV",249.76753125 uV,4.0,0.24976753124835618
1.0,5,1.5,4.0,[0.         0.01249653 0.02498612 ... 6.89584565 6.89201569 6.88818785] mV,1.24883766 mV,4.0,1.2488376562416132
1.0,10,1.5,4.0,"[ 0.          0.02499306  0.04997223 ... 13.7916913  13.78403138
 13.77637571] mV",2.49767531 mV,4.0,2.4976753124832265
1.0,1,1.5,5.0,"[   0.            1.99955562    3.99822275 ... 1402.98967334 1402.36626092
 1401.74312551] uV",200.24935228 uV,5.0,0.2002493522808284
1.0,5,1.5,5.0,[0.         0.00999778 0.01999111 ... 7.01494837 7.0118313  7.00871563] mV,1.00124676 mV,5.0,1.0012467614041236
1.0,10,1.5,5.0,"[ 0.          0.01999556  0.03998223 ... 14.02989673 14.02366261
 14.01743126] mV",2.00249352 mV,5.0,2.002493522808247
1.0,1,2.5,2.0,"[   0.            8.32870542   16.64816186 ... 2103.74583588 2101.40963863
 2099.07603572] uV",0.82949839 mV,2.0,0.8294983881281539
1.0,5,2.5,2.0,"[ 0.          0.04164353  0.08324081 ... 10.51872918 10.50704819
 10.49538018] mV",4.14749194 mV,2.0,4.147491940640506
1.0,10,2.5,2.0,"[ 0.          0.08328705  0.16648162 ... 21.03745836 21.01409639
 20.99076036] mV",8.29498388 mV,2.0,8.294983881281013
1.0,1,2.5,3.0,"[   0.            5.55349845   11.10288472 ... 2232.87676915 2231.2233988
 2229.57125271] uV",0.55441893 mV,3.0,0.5544189339488766
1.0,5,2.5,3.0,"[ 0.          0.02776749  0.05551442 ... 11.16438385 11.15611699
 11.14785626] mV",2.77209467 mV,3.0,2.7720946697447277
1.0,10,2.5,3.0,"[ 0.          0.05553498  0.11102885 ... 22.32876769 22.31223399
 22.29571253] mV",5.54418934 mV,3.0,5.5441893394894555
1.0,1,2.5,4.0,"[   0.            4.16550947    8.32870542 ... 2298.61521685 2297.33856306
 2296.06261832] uV",0.41627922 mV,4.0,0.4162792187472029
1.0,5,2.5,4.0,"[ 0.          0.02082755  0.04164353 ... 11.49307608 11.48669282
 11.48031309] mV",2.08139609 mV,4.0,2.0813960937357354
1.0,10,2.5,4.0,"[ 0.          0.04165509  0.08328705 ... 22.98615217 22.97338563
 22.96062618] mV",4.16279219 mV,4.0,4.162792187471471
1.0,1,2.5,5.0,"[   0.            3.3325927     6.66370458 ... 2338.31612223 2337.27710153
 2336.23854251] uV",0.33374892 mV,5.0,0.333748920468046
1.0,5,2.5,5.0,"[ 0.          0.01666296  0.03331852 ... 11.69158061 11.68638551
 11.68119271] mV",1.6687446 mV,5.0,1.6687446023402313
1.0,10,2.5,5.0,"[ 0.          0.03332593  0.06663705 ... 23.38316122 23.37277102
 23.36238543] mV",3.3374892 mV,5.0,3.3374892046804625
1.0,1,5.0,2.0,[0.         0.01665741 0.03329632 ... 4.20749167 4.20281928 4.19815207] mV,1.65899678 mV,2.0,1.6589967762563078
1.0,5,5.0,2.0,"[ 0.          0.08328705  0.16648162 ... 21.03745836 21.01409639
 20.99076036] mV",8.29498388 mV,2.0,8.294983881281013
1.0,10,5.0,2.0,"[ 0.          0.16657411  0.33296324 ... 42.07491672 42.02819277
 41.98152071] mV",16.58996776 mV,2.0,16.589967762562026
1.0,1,5.0,3.0,[0.         0.011107   0.02220577 ... 4.46575354 4.4624468  4.45914251] mV,1.10883787 mV,3.0,1.1088378678977533
1.0,5,5.0,3.0,"[ 0.          0.05553498  0.11102885 ... 22.32876769 22.31223399
 22.29571253] mV",5.54418934 mV,3.0,5.5441893394894555
1.0,10,5.0,3.0,"[ 0.          0.11106997  0.22205769 ... 44.65753538 44.62446798
 44.59142505] mV",11.08837868 mV,3.0,11.088378678978911
1.0,1,5.0,4.0,[0.         0.00833102 0.01665741 ... 4.59723043 4.59467713 4.59212524] mV,0.83255844 mV,4.0,0.8325584374944058
1.0,5,5.0,4.0,"[ 0.          0.04165509  0.08328705 ... 22.98615217 22.97338563
 22.96062618] mV",4.16279219 mV,4.0,4.162792187471471
1.0,10,5.0,4.0,"[ 0.          0.08331019  0.16657411 ... 45.97230434 45.94677126
 45.92125237] mV",8.32558437 mV,4.0,8.325584374942942
1.0,1,5.0,5.0,[0.         0.00666519 0.01332741 ... 4.67663224 4.6745542  4.67247709] mV,0.66749784 mV,5.0,0.667497840936092
1.0,5,5.0,5.0,"[ 0.          0.03332593  0.06663705 ... 23.38316122 23.37277102
 23.36238543] mV",3.3374892 mV,5.0,3.3374892046804625
1.0,10,5.0,5.0,"[ 0.          0.06665185  0.13327409 ... 46.76632244 46.74554203
 46.72477085] mV",6.67497841 mV,5.0,6.674978409360925
2.0,1,1.5,2.0,"[   0.            4.99722325    9.98889711 ... 1381.47481016 1379.9406906
 1378.40827466] uV",249.71108565 uV,4.0,0.2497110856508637
2.0,5,1.5,2.0,[0.         0.02498612 0.04994449 ... 6.90737405 6.89970345 6.89204137] mV,1.24855543 mV,4.0,1.24855542825436
2.0,10,1.5,2.0,"[ 0.          0.04997223  0.09988897 ... 13.8147481  13.79940691
 13.78408275] mV",2.49711086 mV,4.0,2.49711085650872
2.0,1,1.5,3.0,"[   0.            3.33209907    6.66173083 ... 1420.63389212 1419.58196037
 1418.53080754] uV",166.5831943 uV,6.0,0.16658319430095822
2.0,5,1.5,3.0,[0.         0.0166605  0.03330865 ... 7.10316946 7.0979098  7.09265404] mV,0.83291597 mV,6.0,0.8329159715046685
2.0,10,1.5,3.0,"[ 0.          0.03332099  0.06661731 ... 14.20633892 14.1958196
 14.18530808] mV",1.66583194 mV,6.0,1.665831943009337
2.0,1,1.5,4.0,"[   0.            2.49930568    4.99722325 ... 1440.34513427 1439.54516477
 1438.74563956] uV",125.02330309 uV,8.0,0.1250233030895202
2.0,5,1.5,4.0,[0.         0.01249653 0.02498612 ... 7.20172567 7.19772582 7.1937282 ] mV,0.62511652 mV,8.0,0.6251165154474835
2.0,10,1.5,4.0,"[ 0.          0.02499306  0.04997223 ... 14.40345134 14.39545165
 14.3874564 ] mV",1.25023303 mV,8.0,1.250233030894967
2.0,1,1.5,5.0,"[   0.            1.99955562    3.99822275 ... 1452.15603255 1451.51077327
 1450.86580071] uV",100.39762093 uV,10.0,0.10039762093409918
2.0,5,1.5,5.0,[0.         0.00999778 0.01999111 ... 7.26078016 7.25755387 7.254329  ] mV,0.5019881 mV,10.0,0.5019881046704807
2.0,10,1.5,5.0,"[ 0.          0.01999556  0.03998223 ... 14.52156033 14.51510773
 14.50865801] mV",1.00397621 mV,10.0,1.0039762093409614
2.0,1,2.5,2.0,"[   0.            8.32870542   16.64816186 ... 2302.45801694 2299.901151
 2297.34712444] uV",0.41618514 mV,4.0,0.41618514275146595
2.0,5,2.5,2.0,"[ 0.          0.04164353  0.08324081 ... 11.51229008 11.49950575
 11.48673562] mV",2.08092571 mV,4.0,2.080925713757214
2.0,10,2.5,2.0,"[ 0.          0.08328705  0.16648162 ... 23.02458017 22.99901151
 22.97347124] mV",4.16185143 mV,4.0,4.161851427514428
2.0,1,2.5,3.0,"[   0.            5.55349845   11.10288472 ... 2367.72315353 2365.96993395
 2364.21801257] uV",277.63865717 uV,6.0,0.2776386571682206
2.0,5,2.5,3.0,"[ 0.          0.02776749  0.05551442 ... 11.83861577 11.82984967
 11.82109006] mV",1.38819329 mV,6.0,1.38819328584131
2.0,10,2.5,3.0,"[ 0.          0.05553498  0.11102885 ... 23.67723154 23.65969934
 23.64218013] mV",2.77638657 mV,6.0,2.77638657168262
2.0,1,2.5,4.0,"[   0.            4.16550947    8.32870542 ... 2400.57522379 2399.24194128
 2397.90939927] uV",208.37217182 uV,8.0,0.20837217181582465
2.0,5,2.5,4.0,"[ 0.          0.02082755  0.04164353 ... 12.00287612 11.99620971
 11.989547  ] mV",1.04186086 mV,8.0,1.0418608590789715
2.0,10,2.5,4.0,"[ 0.          0.04165509  0.08328705 ... 24.00575224 23.99241941
 23.97909399] mV",2.08372172 mV,8.0,2.083721718157943
2.0,1,2.5,5.0,"[   0.            3.3325927     6.66370458 ... 2420.26005426 2419.18462212
 2418.10966785] uV",167.32936822 uV,10.0,0.16732936822349284
2.0,5,2.5,5.0,"[ 0.          0.01666296  0.03331852 ... 12.10130027 12.09592311
 12.09054834] mV",0.83664684 mV,10.0,0.836646841117495
2.0,10,2.5,5.0,"[ 0.          0.03332593  0.06663705 ... 24.20260054 24.19184622
 24.18109668] mV",1.67329368 mV,10.0,1.67329368223499
2.0,1,5.0,2.0,[0.         0.01665741 0.03329632 ... 4.60491603 4.5998023  4.59469425] mV,0.83237029 mV,4.0,0.8323702855029319
2.0,5,5.0,2.0,"[ 0.          0.08328705  0.16648162 ... 23.02458017 22.99901151
 22.97347124] mV",4.16185143 mV,4.0,4.161851427514428
2.0,10,5.0,2.0,"[ 0.          0.16657411  0.33296324 ... 46.04916034 45.99802302
 45.94694249] mV",8.32370286 mV,4.0,8.323702855028856
2.0,1,5.0,3.0,[0.         0.011107   0.02220577 ... 4.73544631 4.73193987 4.72843603] mV,0.55527731 mV,6.0,0.5552773143364412
2.0,5,5.0,3.0,"[ 0.          0.05553498  0.11102885 ... 23.67723154 23.65969934
 23.64218013] mV",2.77638657 mV,6.0,2.77638657168262
2.0,10,5.0,3.0,"[ 0.          0.11106997  0.22205769 ... 47.35446307 47.31939868
 47.28436025] mV",5.55277314 mV,6.0,5.55277314336524
2.0,1,5.0,4.0,[0.         0.00833102 0.01665741 ... 4.80115045 4.79848388 4.7958188 ] mV,0.41674434 mV,8.0,0.4167443436316493
2.0,5,5.0,4.0,"[ 0.          0.04165509  0.08328705 ... 24.00575224 23.99241941
 23.97909399] mV",2.08372172 mV,8.0,2.083721718157943
2.0,10,5.0,4.0,"[ 0.          0.08331019  0.16657411 ... 48.01150448 47.98483883
 47.95818799] mV",4.16744344 mV,8.0,4.167443436315886
2.0,1,5.0,5.0,[0.         0.00666519 0.01332741 ... 4.84052011 4.83836924 4.83621934] mV,0.33465874 mV,10.0,0.3346587364469857
2.0,5,5.0,5.0,"[ 0.          0.03332593  0.06663705 ... 24.20260054 24.19184622
 24.18109668] mV",1.67329368 mV,10.0,1.67329368223499
2.0,10,5.0,5.0,"[ 0.          0.06665185  0.13327409 ... 48.40520109 48.38369244
 48.36219336] mV",3.34658736 mV,10.0,3.34658736446998
3.0,1,1.5,2.0,"[   0.            4.99722325    9.98889711 ... 1422.21333363 1420.63397418
 1419.0563686 ] uV",166.58099298 uV,6.0,0.16658099297677562
3.0,5,1.5,2.0,[0.         0.02498612 0.04994449 ... 7.11106667 7.10316987 7.09528184] mV,0.83290496 mV,6.0,0.8329049648839
3.0,10,1.5,2.0,"[ 0.          0.04997223  0.09988897 ... 14.22213334 14.20633974
 14.19056369] mV",1.66580993 mV,6.0,1.6658099297678
3.0,1,1.5,3.0,"[   0.            3.33209907    6.66173083 ... 1448.01411291 1446.94190703
 1445.87049508] uV",111.08796613 uV,9.0,0.11108796612523618
3.0,5,1.5,3.0,[0.         0.0166605  0.03330865 ... 7.24007056 7.23470954 7.22935248] mV,0.55543983 mV,9.0,0.5554398306260891
3.0,10,1.5,3.0,"[ 0.          0.03332099  0.06661731 ... 14.48014113 14.46941907
 14.45870495] mV",1.11087966 mV,9.0,1.1108796612521783
3.0,1,1.5,4.0,"[   0.            2.49930568    4.99722325 ... 1460.95902312 1460.14760463
 1459.33663681] uV",83.38308966 uV,12.0,0.08338308966381958
3.0,5,1.5,4.0,[0.         0.01249653 0.02498612 ... 7.30479512 7.30073802 7.29668318] mV,0.41691545 mV,12.0,0.41691544831904453
3.0,10,1.5,4.0,"[ 0.          0.02499306  0.04997223 ... 14.60959023 14.60147605
 14.59336637] mV",0.8338309 mV,12.0,0.8338308966380891
3.0,1,1.5,5.0,"[   0.            1.99955562    3.99822275 ... 1468.68319846 1468.03059541
 1467.37828234] uV",67.08361576 uV,15.0,0.06708361576441722
3.0,5,1.5,5.0,[0.         0.00999778 0.01999111 ... 7.34341599 7.34015298 7.33689141] mV,0.33541808 mV,15.0,0.33541807882209435
3.0,10,1.5,5.0,"[ 0.          0.01999556  0.03998223 ... 14.68683198 14.68030595
 14.67378282] mV",0.67083616 mV,15.0,0.6708361576441887
3.0,1,2.5,2.0,"[   0.            8.32870542   16.64816186 ... 2370.35555606 2367.7232903
 2365.09394766] uV",277.63498829 uV,6.0,0.27763498829464067
3.0,5,2.5,2.0,"[ 0.          0.04164353  0.08324081 ... 11.85177778 11.83861645
 11.82546974] mV",1.38817494 mV,6.0,1.3881749414731432
3.0,10,2.5,2.0,"[ 0.          0.08328705  0.16648162 ... 23.70355556 23.6772329
 23.65093948] mV",2.77634988 mV,6.0,2.7763498829462865
3.0,1,2.5,3.0,"[   0.            5.55349845   11.10288472 ... 2413.35685486 2411.56984505
 2409.78415846] uV",185.14661021 uV,9.0,0.18514661020870232
3.0,5,2.5,3.0,"[ 0.          0.02776749  0.05551442 ... 12.06678427 12.05784923
 12.04892079] mV",0.92573305 mV,9.0,0.9257330510436396
3.0,10,2.5,3.0,"[ 0.          0.05553498  0.11102885 ... 24.13356855 24.11569845
 24.09784158] mV",1.8514661 mV,9.0,1.8514661020872791
3.0,1,2.5,4.0,"[   0.            4.16550947    8.32870542 ... 2434.93170519 2433.57934105
 2432.22772801] uV",138.97181611 uV,12.0,0.13897181610634254
3.0,5,2.5,4.0,"[ 0.          0.02082755  0.04164353 ... 12.17465853 12.16789671
 12.16113864] mV",0.69485908 mV,12.0,0.6948590805316273
3.0,10,2.5,4.0,"[ 0.          0.04165509  0.08328705 ... 24.34931705 24.33579341
 24.32227728] mV",1.38971816 mV,12.0,1.3897181610632545
3.0,1,2.5,5.0,"[   0.            3.3325927     6.66370458 ... 2447.80533077 2446.71765902
 2445.63047056] uV",111.80602627 uV,15.0,0.1118060262740258
3.0,5,2.5,5.0,"[ 0.          0.01666296  0.03331852 ... 12.23902665 12.2335883
 12.22815235] mV",0.55903013 mV,15.0,0.5590301313701668
3.0,10,2.5,5.0,"[ 0.          0.03332593  0.06663705 ... 24.47805331 24.46717659
 24.45630471] mV",1.11806026 mV,15.0,1.1180602627403335
3.0,1,5.0,2.0,[0.         0.01665741 0.03329632 ... 4.74071111 4.73544658 4.7301879 ] mV,0.55526998 mV,6.0,0.5552699765892813
3.0,5,5.0,2.0,"[ 0.          0.08328705  0.16648162 ... 23.70355556 23.6772329
 23.65093948] mV",2.77634988 mV,6.0,2.7763498829462865
3.0,10,5.0,2.0,"[ 0.          0.16657411  0.33296324 ... 47.40711112 47.35446581
 47.30187895] mV",5.55269977 mV,6.0,5.552699765892573
3.0,1,5.0,3.0,[0.         0.011107   0.02220577 ... 4.82671371 4.82313969 4.81956832] mV,0.37029322 mV,9.0,0.37029322041740464
3.0,5,5.0,3.0,"[ 0.          0.05553498  0.11102885 ... 24.13356855 24.11569845
 24.09784158] mV",1.8514661 mV,9.0,1.8514661020872791
3.0,10,5.0,3.0,"[ 0.          0.11106997  0.22205769 ... 48.2671371  48.2313969
 48.19568317] mV",3.7029322 mV,9.0,3.7029322041745583
3.0,1,5.0,4.0,[0.         0.00833102 0.01665741 ... 4.86986341 4.86715868 4.86445546] mV,277.94363221 uV,12.0,0.2779436322126851
3.0,5,5.0,4.0,"[ 0.          0.04165509  0.08328705 ... 24.34931705 24.33579341
 24.32227728] mV",1.38971816 mV,12.0,1.3897181610632545
3.0,10,5.0,4.0,"[ 0.          0.08331019  0.16657411 ... 48.6986341  48.67158682
 48.64455456] mV",2.77943632 mV,12.0,2.779436322126509
3.0,1,5.0,5.0,[0.         0.00666519 0.01332741 ... 4.89561066 4.89343532 4.89126094] mV,223.61205255 uV,15.0,0.2236120525480516
3.0,5,5.0,5.0,"[ 0.          0.03332593  0.06663705 ... 24.47805331 24.46717659
 24.45630471] mV",1.11806026 mV,15.0,1.1180602627403335
3.0,10,5.0,5.0,"[ 0.          0.06665185  0.13327409 ... 48.95610662 48.93435318
 48.91260941] mV",2.23612053 mV,15.0,2.236120525480667
4.0,1,1.5,2.0,"[   0.            4.99722325    9.98889711 ... 1449.06957012 1447.46038698
 1445.85299083] uV",123.84857645 uV,8.0,0.12384857645069573
4.0,5,1.5,2.0,[0.         0.02498612 0.04994449 ... 7.24534785 7.23730193 7.22926495] mV,0.61924288 mV,8.0,0.6192428822534941
4.0,10,1.5,2.0,"[ 0.          0.04997223  0.09988897 ... 14.4906957  14.47460387
 14.45852991] mV",1.23848576 mV,8.0,1.2384857645069882
4.0,1,1.5,3.0,"[   0.            3.33209907    6.66173083 ... 1461.66214474 1460.57983295
 1459.49832257] uV",82.58100681 uV,12.0,0.08258100680839583
4.0,5,1.5,3.0,[0.         0.0166605  0.03330865 ... 7.30831072 7.30289916 7.29749161] mV,0.41290503 mV,12.0,0.41290503404191586
4.0,10,1.5,3.0,"[ 0.          0.03332099  0.06661731 ... 14.61662145 14.60579833
 14.59498323] mV",0.82581007 mV,12.0,0.8258100680838317
4.0,1,1.5,4.0,"[   0.            2.49930568    4.99722325 ... 1467.92381242 1467.10852568
 1466.29369175] uV",61.99685164 uV,16.0,0.06199685164133789
4.0,5,1.5,4.0,[0.         0.01249653 0.02498612 ... 7.33961906 7.33554263 7.33146846] mV,309.98425821 uV,16.0,0.30998425820665065
4.0,10,1.5,4.0,"[ 0.          0.02499306  0.04997223 ... 14.67923812 14.67108526
 14.66293692] mV",0.61996852 mV,16.0,0.6199685164133013
4.0,1,1.5,5.0,"[   0.            1.99955562    3.99822275 ... 1471.61333454 1470.95942949
 1470.30581501] uV",49.96654099 uV,20.0,0.049966540989775356
4.0,5,1.5,5.0,[0.         0.00999778 0.01999111 ... 7.35806667 7.35479715 7.35152908] mV,249.83270495 uV,20.0,0.24983270494888415
4.0,10,1.5,5.0,"[ 0.          0.01999556  0.03998223 ... 14.71613335 14.70959429
 14.70305815] mV",0.49966541 mV,20.0,0.4996654098977683
4.0,1,2.5,2.0,"[   0.            8.32870542   16.64816186 ... 2415.11595021 2412.4339783
 2409.75498471] uV",206.41429408 uV,8.0,0.20641429408449746
4.0,5,2.5,2.0,"[ 0.          0.04164353  0.08324081 ... 12.07557975 12.06216989
 12.04877492] mV",1.03207147 mV,8.0,1.0320714704224743
4.0,10,2.5,2.0,"[ 0.          0.08328705  0.16648162 ... 24.1511595  24.12433978
 24.09754985] mV",2.06414294 mV,8.0,2.0641429408449485
4.0,1,2.5,3.0,"[   0.            5.55349845   11.10288472 ... 2436.10357457 2434.29972158
 2432.49720429] uV",137.63501135 uV,12.0,0.1376350113473086
4.0,5,2.5,3.0,"[ 0.          0.02776749  0.05551442 ... 12.18051787 12.17149861
 12.16248602] mV",0.68817506 mV,12.0,0.6881750567365834
4.0,10,2.5,3.0,"[ 0.          0.05553498  0.11102885 ... 24.36103575 24.34299722
 24.32497204] mV",1.37635011 mV,12.0,1.3763501134731668
4.0,1,2.5,4.0,"[   0.            4.16550947    8.32870542 ... 2446.53968737 2445.18087614
 2443.82281959] uV",103.32808607 uV,16.0,0.10332808606887574
4.0,5,2.5,4.0,"[ 0.          0.02082755  0.04164353 ... 12.23269844 12.22590438
 12.2191141 ] mV",0.51664043 mV,16.0,0.5166404303442972
4.0,10,2.5,4.0,"[ 0.          0.04165509  0.08328705 ... 24.46539687 24.45180876
 24.4382282 ] mV",1.03328086 mV,16.0,1.0332808606885944
4.0,1,2.5,5.0,"[   0.            3.3325927     6.66370458 ... 2452.6888909  2451.59904916
 2450.50969168] uV",83.27756832 uV,20.0,0.08327756831629732
4.0,5,2.5,5.0,"[ 0.          0.01666296  0.03331852 ... 12.26344445 12.25799525
 12.25254846] mV",0.41638784 mV,20.0,0.41638784158148573
4.0,10,2.5,5.0,"[ 0.          0.03332593  0.06663705 ... 24.52688891 24.51599049
 24.50509692] mV",0.83277568 mV,20.0,0.8327756831629715
4.0,1,5.0,2.0,[0.         0.01665741 0.03329632 ... 4.8302319  4.82486796 4.81950997] mV,0.41282859 mV,8.0,0.4128285881689949
4.0,5,5.0,2.0,"[ 0.          0.08328705  0.16648162 ... 24.1511595  24.12433978
 24.09754985] mV",2.06414294 mV,8.0,2.0641429408449485
4.0,10,5.0,2.0,"[ 0.          0.16657411  0.33296324 ... 48.302319   48.24867957
 48.19509969] mV",4.12828588 mV,8.0,4.128285881689897
4.0,1,5.0,3.0,[0.         0.011107   0.02220577 ... 4.87220715 4.86859944 4.86499441] mV,275.27002269 uV,12.0,0.2752700226946172
